"State","Year","Value"
"AK","1995","136"
"AK","1996","181"
"AK","1997","126"
"AK","1998","110"
"AK","1999","112"
"AK","2000","81"
"AK","2001","113"
"AK","2002","102"
"AK","2003","160"
"AK","2004","173"
"AK","2005","181"
"AK","2006","191"
"AK","2007","180"
"AK","2008","158"
"AK","2009","303"
"AK","2010","377"
"AK","2011","372"
"AK","2012","354"
"AK","2013","387"
"AK","2014","425"
"AK","2015","216"
"AK","2016","619"
"AK","2017","693"
"AL","1995","151"
"AL","1996","80"
"AL","1997","40"
"AL","1998","98"
"AL","1999","159"
"AL","2000","196"
"AL","2001","210"
"AL","2002","284"
"AL","2003","306"
"AL","2004","261"
"AL","2005","231"
"AL","2006","140"
"AL","2007","132"
"AL","2008","193"
"AL","2009","154"
"AL","2010","134"
"AL","2011","0"
"AL","2012","256"
"AL","2013","257"
"AL","2014","55"
"AL","2015","51"
"AL","2016","541"
"AL","2017","467"
"AR","1995","379"
"AR","1996","275"
"AR","1997","265"
"AR","1998","241"
"AR","1999","221"
"AR","2000","64"
"AR","2001","197"
"AR","2002","250"
"AR","2003","163"
"AR","2004","119"
"AR","2005","206"
"AR","2006","363"
"AR","2007","337"
"AR","2008","348"
"AR","2009","143"
"AR","2010","105"
"AR","2011","92"
"AR","2012","135"
"AR","2013","58"
"AR","2014","147"
"AR","2015","170"
"AR","2016","312"
"AR","2017","289"
"AZ","1995","1666"
"AZ","1996","1632"
"AZ","1997","1707"
"AZ","1998","1733"
"AZ","1999","1817"
"AZ","2000","1722"
"AZ","2001","1909"
"AZ","2002","2029"
"AZ","2003","1977"
"AZ","2004","1943"
"AZ","2005","1928"
"AZ","2006","1899"
"AZ","2007","1883"
"AZ","2008","1966"
"AZ","2009","1911"
"AZ","2010","1904"
"AZ","2011","1815"
"AZ","2012","2069"
"AZ","2013","2180"
"AZ","2014","1829"
"AZ","2015","1706"
"AZ","2016","1747"
"AZ","2017","1520"
"CA","1995","6316"
"CA","1996","3301"
"CA","1997","5993"
"CA","1998","6038"
"CA","1999","6143"
"CA","2000","6564"
"CA","2001","6346"
"CA","2002","6763"
"CA","2003","7224"
"CA","2004","7359"
"CA","2005","7363"
"CA","2006","7041"
"CA","2007","7547"
"CA","2008","7593"
"CA","2009","8139"
